DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,GDP_per_Capita,OBS_FLAG
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2018,27030,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2019,27230,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2020,24910,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2011,9820,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2012,10330,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2013,10810,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2014,11290,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2015,11620,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2016,12070,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2017,12760,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2018,13400,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2019,14060,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2020,14050,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2011,82490,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2012,81940,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2013,82400,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2014,82590,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2015,82820,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2016,84750,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2017,84020,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2018,83390,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2019,83590,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2020,81660,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2011,8940,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2012,9680,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2013,9980,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2014,10270,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2015,10760,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2016,11110,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2017,11590,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2018,12140,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2019,12540,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2020,12330,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,MT,2011,16450,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,MT,2012,16970,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,MT,2013,17650,
